id,name,note,station_id,sensor_type,latitude,longitude,station_name
74,S74,Via Peretti > Brotzu Peretti > Brotzu dx,41,4,39.2518931631,9.10190422432,PERETTI DIR BROTZU
75,S75,Via Peretti > Brotzu Peretti > Brotzu sx,41,4,39.2518931631,9.10190422432,PERETTI DIR BROTZU
76,S76,VIa Peretti > SS131 Peretti > SS131,40,4,39.2519972223,9.10192499965,PERETTI DIR SS 131
77,S77,Riva di Ponente > Roma Riva di Ponente > Roma Dx,44,4,39.2148253338,9.10173374294,RIVA DI PONENTE_IN
78,S78,Riva di Ponente > Roma Riva di Ponente > Roma Sx,44,4,39.2148253338,9.10173374294,RIVA DI PONENTE_IN
79,S79,Riva di Ponente  > SS195 Riva di Ponente > SS195 Sx,45,4,39.2148957597,9.10177538524,RIVA DI PONENTE_OUT
80,S80,Riva di Ponente  > SS195 Riva di Ponente > SS195 Dx,45,4,39.2148957597,9.10177538524,RIVA DI PONENTE_OUT
81,S81,Mediano/P.Vittorio > Ferrara Mediano/P.Vittorio > Ferrara Dx,46,4,39.2031499997,9.14017777794,A.MEDIANO/ P.VITTORIO _IN
82,S82,Mediano/P.Vittorio > Ferrara Mediano/P.Vittorio > Ferrara Sx,46,4,39.2031499997,9.14017777794,A.MEDIANO/ P.VITTORIO _IN
83,S83,Mediano/P.Vittorio > Tramontana Mediano/P.Vittorio > Tramontana Sx,47,4,39.2030722223,9.14023333335,A.MEDIANO /P.VITTORIO_OUT
84,S84,Mediano/P.Vittorio > Tramontana Mediano /P.Vittorio >Tramontana Dx,47,4,39.2030722223,9.14023333335,A.MEDIANO /P.VITTORIO_OUT
85,S85,Mediano/Tramontana > Ferrara Mediano/Tramontana >Ferrara Dx,48,4,39.205968329,9.14331920176,MEDIANO/TRAMONTANA_IN
86,S86,Mediano/Tramontana > Ferrara Mediano/Tramontana > Ferrara Sx,48,4,39.205968329,9.14331920176,MEDIANO/TRAMONTANA_IN
87,S87,Mediano/Tramont > Conversi Mediano/Tramontana > Conversi Sx,49,4,39.2059669723,9.14341911508,MEDIANO/TRAMONTANA_OUT
88,S88,Mediano/Tramont > Conversi Mediano/Tramontana > Conversi Dx,49,4,39.2059669723,9.14341911508,MEDIANO/TRAMONTANA_OUT
89,S90,Tramontana >Asse Mediano Mediano/Tramontana >Immissione,50,4,39.2058749999,9.14348888902,MEDIANO/TRAMONT_Immissione
90,S91,Viale Colombo > Poetto Colombo > Poetto Dx,42,4,39.2074769921,9.12250969137,COLOMBO DIR POETTO
91,S92,Viale Colombo > Poetto Colombo > Poetto Sx,42,4,39.2074769921,9.12250969137,COLOMBO DIR POETTO
92,S93,Viale Colombo > Via Roma Colombo > Roma Sx,43,4,39.2075925891,9.12260107159,COLOMBO DIR ROMA
93,S94,Viale Colombo > Via Roma Colombo > Roma Dx,43,4,39.2075925891,9.12260107159,COLOMBO DIR ROMA
96,S97,via Stamira > Asse Mediano via Stamira > Asse Mediano,53,4,39.2493713505,9.11591706073,STAMIRA_OUT
97,S98,via Stamira > via Balilla via Stamira > via Balilla,54,4,39.249313,9.115741,STAMIRA_IN
98,S99,Mediano/Valenz Ingresso Mediano/Valenz Ingresso Dx,55,4,39.2373005858,9.12010045504,MEDIANO/VALENZANI_IN
99,S100,Mediano/Valenz Ingresso Mediano/Valenz Ingresso Sx,55,4,39.2373005858,9.12010045504,MEDIANO/VALENZANI_IN
100,S101,Mediano/Valenz Uscita Mediano/Valenz Uscita Sx,56,4,39.237029,9.120459,MEDIANO/VALENZANI_OUT
101,S102,Mediano/Valenz Uscita Mediano/Valenz Uscita Dx,56,4,39.237029,9.120459,MEDIANO/VALENZANI_OUT
102,S103,Via S.benedetto -> genneruxi San Benedetto > Genneruxi,78,4,39.2248790191,9.12913553031,SAN BENEDETTO DIR GENNERUXI
103,S104,Via San Benedetto -> Ariosto San Benedetto > Ariosto,79,4,39.2248576349,9.12919073902,SAN BENEDETTO DIR ARIOSTO
104,S105,Via Berlino -> Abbazia Berlino > Abbazia DX,64,4,39.2239470501,9.13640749892,BERLINO DIR ABBAZIA
105,S106,Via Berlino -> Abbazia Berlino > Abbazia SX,64,4,39.2239470501,9.13640749892,BERLINO DIR ABBAZIA
106,S107,Via Berlino -> Asse Mediano Berlino > Mediano DX,65,4,39.2238952337,9.13644147351,BERLINO DIR MEDIANO
107,S108,Via Berlino -> Asse Mediano Berlino > Mediano SX,65,4,39.2238952337,9.13644147351,BERLINO DIR MEDIANO
108,S109,Via Castiglione -> Via Salvemini Via Castiglione > Salvemini,68,4,39.2300310255,9.12935841204,CASTIGLIONE DIR SALVEMINI
109,S110,Via Castiglione dir Mediano Via Castiglione > Asse Mediano,69,4,39.2299923721,9.12931647466,CASTIGLIONE DIR MEDIANO
110,S111,VIa Is Mirrionis -> Via Campania Via Is Mirrionis > Campania DX,59,4,39.2365039304,9.10695417315,MIRRIONIS DIR CAMPANIA
111,S112,VIa Is Mirrionis -> Via Campania Via Is Mirrionis > Campania SX,59,4,39.2365039304,9.10695417315,MIRRIONIS DIR CAMPANIA
112,S113,Via Is Mirrionis -> S.Michele Via Is Mirrionis > San Michele DX,60,4,39.2365853415,9.10701256698,MIRRIONIS DIR S.MICHELE
113,S114,Via Is Mirrionis -> S.Michele Via Is Mirrionis > San Michele SX,60,4,39.2365853415,9.10701256698,MIRRIONIS DIR S.MICHELE
114,S115,Via Cornalias -> Via MAttei Via Cornalias > Mattei DX,73,4,39.2422692924,9.10572824427,CORNALIAS DIR METTEI
115,S116,Via Cornalias -> Via MAttei Via Cornalias > Mattei SX,73,4,39.2422692924,9.10572824427,CORNALIAS DIR METTEI
116,S117,Via Cornalias -> P.DellaFrancesca Via Cornalias > P.D.Francesca DX,74,4,39.2422972495,9.10582379781,CORNALIAS DIR P.D.FRANCESCA
117,S118,Via Cornalias -> P.DellaFrancesca Via Cornalias > P.D.Francesca SX,74,4,39.2422972495,9.10582379781,CORNALIAS DIR P.D.FRANCESCA
118,S119,Via Is Maglias -> Via Merello Via Is Maglias > Via Merello,71,4,39.2315717405,9.10457030761,MAGLIAS DIR MERELLO
119,S120,Via Is Maglias -> Via Asiago Via Is Maglias > Asiago,72,4,39.2315371999,9.10453739472,MAGLIAS DIR ASIAGO
120,S121,Viale S.Vincenzo -> Via R.Elena San Vincenzo > Regina Elena,80,4,39.2277638502,9.11249695889,SAN VINCENZO DIR R.ELENA
121,S122,Viale San Vicenzo -> P.Armi San Vincenzo > Armi,81,4,39.2277284854,9.11247041624,SAN VINCENZO DIR ARMI
122,S123,Via Vesalio -> Torricelli Via Vesalio > Torricelli DX,66,4,39.2389999995,9.13163888895,VESALIO DIR TORRICELLI
123,S124,Via Vesalio -> Torricelli Via Vesalio > Torricelli SX,66,4,39.2389999995,9.13163888895,VESALIO DIR TORRICELLI
124,S125,Via Vesalio -> Via Risorgimento Via Vesalio > Risorgimento DX,67,4,39.2389564172,9.13171214666,VESALIO DIR RISORGIMENTO
125,S126,Via Vesalio -> Via Risorgimento Via Vesalio > Risorgimento SX,67,4,39.2389564172,9.13171214666,VESALIO DIR RISORGIMENTO
126,S127,Via Liguria -> p.Maremma Via Liguria > Maremma DX,62,4,39.2307833502,9.1158388156,LIGURIA DIR MAREMMA
